10,98: Gladiator (2000),,3.5,,5.0,4.0,4.0,,4.5,3.5,4.0,5.0,3.0,5.0,,4.0,3.5,3.5,5.0,4.0,2.0,4.5,3.0,4.5,3.0,4.0
11,105: Back to the Future (1985),4.5,5.0,5.0,,,4.5,,5.0,4.0,5.0,,3.5,4.0,5.0,5.0,4.0,5.0,3.5,4.5,4.5,4.5,,,,2.0
12,107: Snatch (2000),,,,5.0,,3.5,,4.5,4.0,,,,4.0,,,,3.5,,4.0,3.0,2.5,,,,3.0
13,114: Pretty Woman (1990),,3.5,,,4.0,,4.0,2.5,3.5,5.0,,4.5,3.0,3.5,,3.5,,4.0,,2.5,3.0,,,,2.0
14,120: The Lord of the Rings: The Fellowship of the Ring (2001),,5.0,,4.0,5.0,,5.0,5.0,4.0,0.5,,3.0,4.0,,5.0,3.5,,3.5,4.5,4.0,4.5,2.5,,5.0,4.0
15,121: The Lord of the Rings: The Two Towers (2002),,5.0,4.5,4.0,5.0,,5.0,4.5,4.0,1.0,,4.0,5.0,,5.0,3.0,1.0,4.0,4.5,4.0,4.5,,,5.0,4.0
16,122: The Lord of the Rings: The Return of the King (2003),,5.0,,4.0,5.0,,5.0,5.0,4.0,0.5,,3.0,4.0,,5.0,3.5,,5.0,5.0,4.5,4.5,2.5,,4.0,4.0
17,134: O Brother Where Art Thou? (2000),,,,,,,,2.0,,,,,,,,4.5,,,4.0,2.0,,2.5,,,
18,141: Donnie Darko (2001),,3.0,,,,2.5,,2.5,4.5,,,,,4.5,3.0,,3.5,,4.5,2.0,4.0,,,4.0,
19,146: Crouching Tiger Hidden Dragon (Wo hu cang long) (2000),2.5,4.0,,,,3.5,5.0,5.0,2.5,0.5,3.5,,3.5,,,4.5,,3.5,3.5,4.0,,4.0,4.0,,4.0
20,153: Lost in Translation (2003),,4.5,,,,,4.0,5.0,3.5,4.0,,,,,3.0,4.0,,4.0,4.5,4.0,,,,4.5,1.5
21,155: The Dark Knight (2008),5.0,5.0,,5.0,5.0,4.0,,5.0,3.5,5.0,4.0,5.0,4.0,5.0,3.0,,4.5,5.0,4.5,4.5,4.5,3.0,4.5,5.0,3.5
22,161: Ocean's Eleven (2001),4.0,4.5,,,4.0,3.5,4.0,5.0,4.0,5.0,4.5,5.0,4.5,5.0,,3.5,3.5,3.5,4.5,2.5,4.5,3.0,4.5,3.5,4.0
23,180: Minority Report (2002),3.0,4.5,,4.5,3.5,,,5.0,2.5,4.0,,,2.5,,5.0,3.5,3.0,4.0,4.0,3.0,5.0,3.0,,3.5,4.0
24,187: Sin City (2005),,3.0,4.0,,,,,1.5,3.5,,,4.5,2.5,3.0,3.0,,3.0,1.5,4.0,4.0,4.5,,,,4.5
25,194: Amelie (2001),,5.0,,,,,,1.0,,5.0,,,,5.0,4.0,,4.0,3.0,4.0,5.0,2.5,4.0,4.5,4.5,
26,197: Braveheart (1995),,4.0,,,,4.0,5.0,4.5,4.0,,,1.0,4.0,,4.0,3.5,,4.5,,1.5,4.5,3.0,4.0,2.5,5.0
27,238: The Godfather (1972),,5.0,,,3.0,5.0,4.0,4.5,4.5,5.0,5.0,4.0,3.0,5.0,4.0,5.0,,,,3.0,4.0,5.0,5.0,5.0,5.0
28,243: High Fidelity (2000),,4.0,,,,,,2.0,,,,,,,,,,,3.5,2.5,,,,,
29,268: Batman (1989),,,,,2.5,,,5.0,2.5,5.0,4.5,4.0,3.0,,3.0,2.5,4.0,2.5,,2.0,4.0,,,,3.5
30,272: Batman Begins (2005),5.0,5.0,,4.0,4.0,3.5,,5.0,3.5,4.0,3.0,5.0,4.0,4.0,3.0,3.5,4.5,4.0,,4.0,4.5,,,4.0,3.5
31,274: The Silence of the Lambs (1991),,5.0,,,,4.5,4.5,4.5,4.5,5.0,,3.0,4.0,,4.0,4.0,4.5,1.5,,4.5,4.5,,4.0,4.0,5.0
32,275: Fargo (1996),,5.0,,,,,,4.5,4.5,5.0,,,,4.5,,5.0,,,,4.0,,5.0,,,
33,278: The Shawshank Redemption (1994),,5.0,4.5,5.0,3.0,,,1.0,5.0,3.5,5.0,,3.5,4.5,,,4.0,3.0,4.5,0.5,4.5,,5.0,4.0,
34,280: Terminator 2: Judgment Day (1991),3.5,3.5,4.5,,3.5,,4.5,4.5,3.0,5.0,4.0,,,,4.0,1.5,3.5,2.5,3.5,4.0,3.5,,,3.0,3.0
35,329: Jurassic Park (1993),4.5,5.0,,,3.5,4.5,5.0,5.0,4.0,5.0,4.5,,3.0,5.0,4.0,3.5,3.5,3.0,4.0,4.0,4.5,,,2.0,3.0
36,393: Kill Bill: Vol. 2 (2004),3.0,5.0,,4.0,3.0,3.5,,4.5,2.5,5.0,3.5,5.0,4.0,4.0,5.0,4.5,0.5,3.0,3.5,4.5,4.0,5.0,,5.0,3.0
37,414: Batman Forever (1995),1.5,3.5,,,2.5,1.5,,3.0,3.5,5.0,,4.0,3.0,,3.0,3.0,2.0,1.5,,4.0,4.0,,,,
38,424: Schindler's List (1993),2.5,4.5,,,,,5.0,5.0,5.0,5.0,4.5,4.5,3.0,,4.0,5.0,2.5,,,3.5,5.0,,,4.5,3.0
39,453: A Beautiful Mind (2001),4.0,4.5,5.0,4.0,3.0,,4.5,4.5,4.0,5.0,5.0,4.0,3.0,5.0,4.0,3.5,,,4.5,1.0,4.5,3.0,5.0,3.5,4.0
40,462: Erin Brockovich (2000),,2.5,,,3.5,,,1.5,4.0,2.5,3.0,,4.0,,,4.5,,,,3.0,4.0,3.0,,,3.0
41,550: Fight Club (1999),,5.0,,3.5,4.5,4.0,,4.5,4.0,5.0,3.0,4.5,3.5,5.0,4.0,3.5,4.5,,5.0,2.0,4.5,5.0,,,5.0
42,557: Spider-Man (2002),4.0,3.0,,,4.0,3.0,,5.0,3.0,5.0,4.5,3.0,4.0,3.5,3.0,2.5,1.0,3.0,,3.5,,,3.5,,1.5
43,558: Spider-Man 2 (2004),2.5,2.0,,,4.0,,4.5,4.5,3.0,4.0,4.5,3.0,3.5,,2.0,3.0,1.0,3.5,3.5,3.0,4.5,2.5,4.0,,1.5
44,568: Apollo 13 (1995),3.5,5.0,,,,4.5,5.0,5.0,4.5,5.0,,4.0,4.0,,4.0,4.0,,4.0,3.5,1.5,5.0,,,,3.0
45,581: Dances with Wolves (1990),,,,,,2.5,4.0,5.0,4.5,4.0,,2.0,,,,4.5,,4.0,,2.5,,,,,3.0
46,585: Monsters Inc. (2001),,5.0,5.0,,3.5,4.0,5.0,1.0,3.5,,,3.5,,5.0,,,3.5,4.0,4.0,3.5,,,,,5.0
47,597: Titanic (1997),4.0,4.0,4.5,,2.0,3.5,3.5,3.0,4.0,5.0,3.5,4.5,4.0,,4.0,4.5,,3.0,3.5,3.5,4.5,3.0,5.0,,4.0
48,601: E.T. the Extra-Terrestrial (1982),,4.5,,,3.0,,4.5,1.5,4.0,5.0,,,3.5,5.0,,4.5,2.0,3.5,3.5,3.0,4.5,,,,0.5
49,602: Independence Day (a.k.a. ID4) (1996),4.0,4.5,,,3.0,2.5,3.5,,3.5,5.0,,4.5,4.0,4.0,4.0,3.0,1.5,3.0,3.5,1.5,3.5,,,2.0,3.0
50,603: The Matrix (1999),4.5,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.5,3.5,4.0,,4.0,4.5,5.0,3.5,5.0,4.0,4.5,4.5,4.0,3.0,5.0,4.5,4.0
51,604: The Matrix Reloaded (2003),4.0,4.0,4.5,5.0,2.5,2.5,5.0,5.0,4.0,3.0,4.0,,2.5,3.5,5.0,4.0,3.0,2.0,3.0,2.5,5.0,3.0,4.0,1.5,3.5
52,607: Men in Black (a.k.a. MIB) (1997),3.0,4.5,5.0,3.0,4.0,3.0,4.5,1.5,3.5,5.0,3.5,4.0,2.5,3.0,2.0,3.0,4.5,4.0,3.5,2.0,4.5,,4.0,4.5,2.5
53,629: The Usual Suspects (1995),,4.0,5.0,,,4.0,4.5,2.5,4.5,5.0,4.0,,4.0,,,,,,3.5,4.0,5.0,,,5.0,3.0
54,640: Catch Me If You Can (2002),3.5,4.5,,3.0,4.0,4.0,,5.0,3.5,5.0,,5.0,4.5,,,4.0,4.0,,4.0,3.0,3.5,,,,
55,641: Requiem for a Dream (2000),,4.5,,,,3.0,,3.0,,5.0,,,,5.0,5.0,,3.5,,,2.5,4.0,4.0,,,
56,664: Twister (1996),,4.0,,,,2.5,4.5,3.0,4.0,2.5,,,3.0,,,3.5,,4.5,3.5,0.5,,,,,
57,671: Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),,4.0,5.0,4.0,4.0,3.0,,5.0,3.5,0.5,4.0,4.5,5.0,,4.0,3.0,,3.5,2.0,0.5,5.0,3.0,,,
58,672: Harry Potter and the Chamber of Secrets (2002),3.0,3.5,5.0,3.0,4.5,3.5,,5.0,3.0,0.5,4.5,4.0,5.0,4.0,3.0,4.0,0.5,3.0,2.0,0.5,2.5,,,,
59,680: Pulp Fiction (1994),,4.0,,3.0,5.0,5.0,4.5,1.0,4.5,5.0,3.5,4.0,4.5,5.0,5.0,4.5,3.0,3.0,4.5,4.5,3.5,5.0,,4.0,3.0
60,745: The Sixth Sense (1999),,4.0,,,4.0,4.0,,3.0,4.5,5.0,,3.5,3.0,,4.0,3.5,4.0,4.0,,3.0,,,,3.0,4.5
61,752: V for Vendetta (2006),,4.0,5.0,4.0,5.0,4.0,4.5,2.0,3.5,3.5,3.0,2.5,3.0,4.5,3.0,,4.5,,,4.5,3.5,2.5,,3.5,3.5
62,786: Almost Famous (2000),,3.5,,,,,,5.0,4.0,,,1.5,2.5,,,,,,,3.0,5.0,,,,
63,788: Mrs. Doubtfire (1993),,5.0,,,2.5,4.0,,2.0,3.5,5.0,,3.0,4.0,,,3.5,,2.5,3.5,2.0,,,,1.5,2.0
64,807: Seven (a.k.a. Se7en) (1995),,5.0,5.0,4.0,,4.5,,1.0,4.5,5.0,,,4.0,,3.0,,5.0,,,4.5,,2.0,5.0,4.0,4.5
65,808: Shrek (2001),,4.5,5.0,3.0,5.0,4.0,5.0,5.0,3.5,1.5,4.5,3.0,5.0,3.5,3.0,4.5,2.0,3.5,3.5,3.0,3.0,,4.0,4.0,4.0
66,809: Shrek 2 (2004),,4.0,5.0,4.0,3.5,3.5,5.0,4.5,3.5,,4.5,3.0,4.0,,3.0,4.0,1.5,1.5,,3.0,,,3.5,,3.5
67,812: Aladdin (1992),,5.0,,2.5,3.0,3.0,,1.5,3.5,3.0,,4.0,3.0,,,3.5,,2.5,3.5,2.0,5.0,,4.0,,
68,854: The Mask (1994),,2.5,,,3.5,3.0,4.5,2.0,3.0,4.0,,2.0,,,1.0,2.5,2.5,2.5,4.0,2.5,4.5,,5.0,3.5,2.5
69,857: Saving Private Ryan (1998),,4.0,,,3.5,5.0,4.5,4.5,4.5,3.5,5.0,3.5,5.0,5.0,2.0,4.0,2.0,,,3.5,4.0,5.0,4.0,3.0,3.5
70,862: Toy Story (1995),4.0,5.0,5.0,,3.0,4.0,3.5,5.0,4.5,4.0,4.0,,,4.5,,4.5,5.0,4.0,3.5,3.5,,3.0,,,3.0
71,954: Mission: Impossible (1996),4.5,4.0,4.0,,,,4.5,4.5,3.5,3.5,3.5,,,,4.0,2.5,2.0,4.0,4.0,2.5,4.0,,4.0,2.0,4.0
72,955: Mission: Impossible II (2000),4.0,3.5,4.0,,,,4.0,4.5,3.0,5.0,4.5,,3.5,,4.0,3.0,,3.0,3.5,2.0,4.0,,4.0,2.5,3.5
73,1422: The Departed (2006),,5.0,,3.5,3.0,4.0,,5.0,4.0,5.0,3.5,5.0,5.0,,4.0,,5.0,,,2.0,5.0,4.5,4.0,,
74,1572: Die Hard: With a Vengeance (1995),,,,,5.0,,,2.0,3.0,3.0,4.0,,4.0,,4.0,3.5,5.0,5.0,4.0,3.5,5.0,2.0,,,3.5
75,1597: Meet the Parents (2000),,2.0,,,3.5,3.5,5.0,1.0,3.0,5.0,,4.0,4.0,,,3.0,,,4.0,2.0,,,,,2.0
76,1637: Speed (1994),,3.0,,,2.0,,4.0,4.5,2.5,3.0,4.0,,3.5,,,3.0,,4.5,3.5,2.0,4.5,,,,3.0
77,1891: Star Wars: Episode V - The Empire Strikes Back (1980),,4.5,5.0,4.0,4.5,4.0,,5.0,4.0,5.0,,4.0,,4.0,3.0,3.5,1.0,5.0,4.5,4.5,4.5,,,,
78,1892: Star Wars: Episode VI - Return of the Jedi (1983),,4.5,5.0,4.5,4.0,3.0,,4.5,4.0,5.0,,4.0,,4.0,3.0,3.0,,3.5,4.5,4.0,2.5,,,,
79,1894: Star Wars: Episode II - Attack of the Clones (2002),3.0,2.5,5.0,4.0,3.5,,,4.5,3.5,5.0,,5.0,,3.0,3.0,4.0,,1.5,3.0,3.0,,,,,
80,1900: Traffic (2000),,1.0,,,,,,5.0,4.0,3.5,,,3.0,,3.0,3.5,,,,3.0,4.0,,,4.5,
81,2024: The Patriot (2000),,,,,,4.0,4.5,0.5,3.0,1.0,,,4.5,,3.0,4.0,,2.5,,0.5,5.0,3.0,,,3.0
82,2164: Stargate (1994),,,,,,,,1.5,3.5,,,,,,5.0,3.0,,4.0,,3.0,,,,3.0,2.5
83,2501: The Bourne Identity (2002),,4.5,,,3.5,,5.0,2.0,4.0,,4.0,,4.0,4.0,5.0,4.0,0.5,3.5,4.0,4.0,2.5,4.0,,,4.0
84,2502: The Bourne Supremacy (2004),,4.0,,,4.0,,5.0,5.0,3.5,,3.5,,4.0,,5.0,3.5,0.5,3.5,4.0,3.0,4.0,4.0,,,4.5
85,3049: Ace Ventura: Pet Detective (1994),,3.0,4.0,,2.5,3.5,5.0,1.0,3.5,5.0,,2.5,4.0,,1.0,,1.0,1.0,,0.5,,,3.0,,1.0
86,4327: Charlie's Angels (2000),,1.5,,,3.0,,,1.0,2.5,5.0,3.0,5.0,4.0,,,2.0,,1.0,3.5,1.0,4.0,,,,2.5
87,5503: The Fugitive (1993),,4.0,,,,,4.0,1.0,3.5,3.5,,4.0,3.0,,,,,4.0,,2.5,3.0,,,2.0,4.0
88,7443: Chicken Run (2000),,1.0,,,,,4.0,2.5,3.0,,,,,,3.0,3.0,3.0,,3.5,2.5,,2.5,,,3.0
89,8358: Cast Away (2000),,4.0,,,,,,2.5,4.5,,5.0,4.0,4.0,5.0,3.0,3.5,,,,2.5,,4.0,,,4.0
90,8467: Dumb & Dumber (1994),,1.0,,,1.0,4.0,4.5,2.0,4.0,5.0,,4.0,,,,1.5,0.5,,4.0,0.5,4.0,,,,0.5
91,8587: The Lion King (1994),4.0,5.0,5.0,3.5,4.0,4.0,,5.0,4.5,4.0,4.5,4.5,4.0,,3.0,5.0,4.0,4.0,,0.5,3.0,3.0,4.5,,
92,9331: Clear and Present Danger (1994),,,,,,,,2.5,3.5,3.5,,,3.5,,,,,3.0,,0.5,,,,,
93,9741: Unbreakable (2000),,,,,,,,3.5,3.5,,,,2.5,,,,,,,3.0,3.0,,,,
94,9802: The Rock (1996),5.0,,,,,3.5,4.0,5.0,2.5,3.0,4.5,,3.5,,2.0,3.0,,3.5,,2.5,5.0,,,,4.0
95,9806: The Incredibles (2004),3.5,5.0,3.5,,3.0,3.5,4.5,5.0,3.5,4.0,,4.5,4.0,,,3.5,0.5,5.0,3.5,3.0,,,4.5,,3.5
96,10020: Beauty and the Beast (1991),3.0,5.0,,,4.0,3.5,,2.0,4.0,3.0,,4.0,3.0,,,4.0,,4.0,2.0,2.5,,,4.0,,
97,36657: X-Men (2000),,4.5,,,4.0,,4.5,5.0,4.0,5.0,,4.0,3.5,,4.0,3.5,,3.0,4.0,3.5,,,,3.0,4.0
98,36658: X2: X-Men United (2003),3.5,4.0,,,3.5,,4.5,4.5,4.0,5.0,,4.5,3.5,,4.0,3.5,,2.0,,3.0,4.0,,3.5,,4.0
99,36955: True Lies (1994),,,,,3.0,3.5,4.0,1.5,3.0,2.0,,,4.0,,,,,4.0,,1.5,4.0,,,,
